이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
더 K9   터보 AWD 그랜드 마스터즈   ,차량번호 154누8426,20,44812.0,가솔린,3342.0,흰색,불가,39500000,48,1,1,1,1,1,1,1,1,1,1,1,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.03327519184732973
스토닉   디젤 프레스티지   ,차량번호 09누3223,19,83000.0,디젤,1582.0,흰색,불가,9880000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.03191796525059684
스타리아   디젤 캠핑카 -   ,차량번호 204어8073,24,8641.0,디젤,2199.0,검정색,"36개월 / 60,000km",58200000,운용,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.030954855274955163
쉐보레 이쿼녹스  디젤 프리미어,차량번호 03누6582,19,127411.0,디젤,1598.0,은색,불가,16500000,42,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.02487039545659741
쉐보레 더 뉴 아베오  터보  LT,차량번호 19너1288,18,114547.0,가솔린,1362.0,흰색,만료,4900000,27,1,1,1,1,1,1,1,1,1,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.02387398988188495
G4 렉스턴   디젤  5인승 헤리티지   ,차량번호 36마7231,18,93678.0,디젤,2157.0,검정색,불가,19700000,43,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.018229040272780092
뉴카이런  디젤  5인승 LV6,차량번호 30보2017,11,160000.0,디젤,1998.0,흰색,만료,3690000,13,1,1,1,1,1,1,1,1,1,1,1,6.0,0.0,0.0,0.0,0.0,1.0,"1,582,570",0.0,0,-1,0.01700788489626028
더 K9  AWD 플래티넘Ⅰ,차량번호 149수8283,20,52571.0,가솔린,3778.0,검정색,정보없음,28200000,49,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"622,778",-1,0.016932709001907055
뉴 에쿠스  VS460 프레스티지,차량번호 19러2727,10,210998.0,가솔린,4627.0,검정색,만료,3790000,3,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2.0,"3,313,140",3.0,"1,214,358",-1,0.015939138672851256
아반떼HD  디젤 S16 프리미어,차량번호 49구4546,8,252254.0,디젤,1582.0,은색,만료,1680000,9,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,2.0,"672,970",0.0,0,-1,0.01569061191013265
르노코리아 XM3   RE 시그니처   ,차량번호 117루8455,23,20589.0,가솔린,1332.0,흰색 (클라우드 펄),"60개월 / 100,000km",19500000,77,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.015040233377986933
코란도 C  디젤  클러비 파크,차량번호 37두4872,14,144761.0,디젤,1998.0,흰색,만료,2990000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,5.0,"6,238,310",2.0,"2,888,888",-1,0.014825866811149557
슈퍼 렉스턴   디젤  RX4 브라운   ,차량번호 28우8707,12,169000.0,디젤,1998.0,검정투톤,불가,3800000,11,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.014072421071208
갤로퍼  디젤 표준형,차량번호 96러2772,1,310423.0,디젤,2476.0,진주색,불가,5500000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,3.0,"1,427,500",-1,0.013816759122010169
링컨 MKZ 2세대   에코부스트 AWD 리저브   ,차량번호 62조7872,18,39230.0,가솔린,1999.0,검정색,불가,22990000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.013151872990604729
볼보 XC90 2세대   D5 AWD R-디자인   ,차량번호 237부1833,17,134000.0,디젤,1969.0,검정색,만료,33000000,37,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.013042581725392483
아반떼 LPi 하이브리드  HDE Ⅲ어드밴스팩,차량번호 47머3706,10,170000.0,하이브리드(LPG/전기),1591.0,은색,불가,3300000,12,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,4.0,"7,074,992",3.0,"1,059,264",-1,0.012970831136061303
벤츠  1세대  300 GD   ,차량번호 49다1019,1,3019.0,디젤,2998.0,녹색,불가,95000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.012634509019094199
올 뉴 프라이드  5도어 럭셔리,차량번호 58가2540,12,75742.0,가솔린,1591.0,빨간색,만료,3290000,23,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,4.0,"3,649,048",3.0,"2,250,140",-1,0.012396638695320704
파비스 톤  극초장축 프레스티지,차량번호 85두5997,22,210000.0,디젤,6798.0,흰색,정보없음,77000000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.012177661422321098
